01/01/2007 00.00,0.815,0.872,0.872,0.14,0.521,0.656,0.872,0.872,0.872
01/01/2007 01.00,0.872,0.872,0.872,0.312,0.659,0.824,0.872,0.846,0.872
01/01/2007 02.00,0.872,0.872,0.872,0.687,0.872,0.872,0.872,0.872,0.872
01/01/2007 03.00,0.872,0.872,0.872,0.867,0.872,0.872,0.872,0.872,0.872
01/01/2007 04.00,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.872
01/01/2007 05.00,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.872
01/01/2007 06.00,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.872
01/01/2007 07.00,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.872
01/01/2007 08.00,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.872
01/01/2007 09.00,0.872,0.872,0.872,0.657,0.858,0.393,0.872,0.872,0.872
01/01/2007 10.00,0.872,0.872,0.872,0.612,0.872,0.313,0.872,0.772,0.872
01/01/2007 11.00,0.872,0.872,0.872,0.277,0.646,0.42,0.872,0.872,0.872
01/01/2007 12.00,0.872,0.872,0.872,0.263,0.865,0.402,0.872,0.872,0.872
01/01/2007 13.00,0.872,0.872,0.872,0.62,0.555,0.536,0.872,0.872,0.872
01/01/2007 14.00,0.872,0.872,0.872,0.527,0.532,0.42,0.872,0.872,0.872
01/01/2007 15.00,0.872,0.872,0.872,0.226,0.406,0.302,0.8,0.788,0.872
01/01/2007 16.00,0.729,0.872,0.872,0.325,0.358,0.314,0.302,0.566,0.872
01/01/2007 17.00,0.407,0.872,0.353,0.491,0.55,0.447,0.262,0.299,0.872
01/01/2007 18.00,0.44,0.469,0.436,0.766,0.647,0.562,0.31,0.195,0.47
01/01/2007 19.00,0.433,0.396,0.403,0.872,0.798,0.872,0.771,0.293,0.295
01/01/2007 20.00,0.872,0.553,0.375,0.872,0.87,0.872,0.271,0.335,0.259
01/01/2007 21.00,0.872,0.438,0.279,0.872,0.872,0.803,0.606,0.467,0.168
01/01/2007 22.00,0.872,0.751,0.575,0.872,0.872,0.872,0.709,0.7,0.405
01/01/2007 23.00,0.872,0.811,0.872,0.872,0.872,0.872,0.624,0.872,0.664
02/01/2007 00.00,0.872,0.872,0.872,0.35,0.872,0.872,0.872,0.872,0.872
02/01/2007 01.00,0.872,0.872,0.872,0.825,0.035,0.872,0.872,0.872,0.872
02/01/2007 02.00,0.872,0.872,0.872,0.141,0.362,0.134,0.872,0.872,0.872
